Docket Number,Violation Number,Issued_Date,Issuing Department,Last Hearing Date,Property Address,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due,Latitude,Longitude,Location
22CP004883,P006068998|P006068999|P006069000|P006069001|P006069002|P006069003,3/9/2022,POLICE,5/6/2022 9:00,3703 W 63RD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF NEW YORK MELLON, ",City non-suit,0,0,0,0,0,0,0,0,41.77865654,-87.71559628,POINT (-87.71559628053797 41.778656541462105)
22CP003776,P006066037|P006066038|P006066039|P006066040|P006066041|P006066042,3/15/2022,POLICE,5/6/2022 9:00,5111 S UNION ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit,0,0,0,0,0,0,0,0,41.80125559,-87.64274049,POINT (-87.64274049287219 41.80125558654073)
22CP004028,P006066025|P006066026|P006066027|P006066028|P006066030|P006066033,3/17/2022,POLICE,5/6/2022 9:00,5147 S PAULINA ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",City non-suit,0,0,0,0,0,0,0,0,41.79990636,-87.66702821,POINT (-87.66702820989542 41.79990636002708)
22CP006025,P006068913|P006068914|P006068915|P006069171|P006069172|P006069173,4/4/2022,POLICE,6/3/2022 9:00,3703 W 63RD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF NEW YORK MELLON, ",City non-suit,0,0,0,0,0,0,0,0,41.77865654,-87.71559628,POINT (-87.71559628053797 41.778656541462105)
22CP006029,P006068899|P006068900|P006068916|P006068917|P006068918|P006068919,4/4/2022,POLICE,6/3/2022 9:00,7844 S TRUMBULL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.75024287,-87.70865275,POINT (-87.70865275272337 41.75024287340102)
22CP006032,P006017328|P006017329|P006017330|P006017346|P006017347|P006017348,4/4/2022,POLICE,6/3/2022 9:00,5836 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.78717783,-87.69010251,POINT (-87.69010251220999 41.78717783424199)
22CP006774,P006088381|P006088382|P006088383|P006088384|P006088385|P006088386,4/26/2022,POLICE,7/1/2022 9:00,5111 S UNION ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",Default - Liable by prove-up,6000,0,1264.42,1703.28,0,9007.7,0,9007.7,41.80125559,-87.64274049,POINT (-87.64274049287219 41.80125558654073)
22CP006993,P006067662|P006067663|P006067664|P006067665|P006067666|P006067667,5/3/2022,POLICE,7/1/2022 9:00,3703 W 63RD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF NEW YORK MELLON, ",City non-suit,0,0,0,0,0,0,0,0,41.77865654,-87.71559628,POINT (-87.71559628053797 41.778656541462105)
22CP006966,P006067690|P006067692|P006067693|P006067694|P006067695|P006067696,5/4/2022,POLICE,7/1/2022 9:00,7844 S TRUMBULL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.75024287,-87.70865275,POINT (-87.70865275272337 41.75024287340102)
22CP006966,P006067690|P006067692|P006067693|P006067694|P006067695|P006067696,5/4/2022,POLICE,7/1/2022 9:00,7844 S TRUMBULLMANU ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0,0,0,0,0,0,0,0,,,
22CP006967,P006017397|P006017398|P006017399|P006017400|P006017401|P006017402,5/4/2022,POLICE,7/1/2022 9:00,5836 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0,0,0,0,0,0,0,0,41.78717783,-87.69010251,POINT (-87.69010251220999 41.78717783424199)
